r(km),m(msun)
9.380010000000000403e+00,2.015325876994971122e+00
9.480010000000000048e+00,2.024500125437493914e+00
9.580009999999999692e+00,2.032670687211711957e+00
9.680009999999999337e+00,2.039575898135559395e+00
9.790010000000000545e+00,2.044901517265200752e+00
9.900009999999999977e+00,2.048283247835174681e+00
1.001000999999999941e+01,2.049265262121348741e+00
1.014001000000000019e+01,2.047326066160822133e+00
1.026000999999999941e+01,2.041834420976171405e+00
1.039001000000000019e+01,2.032047511856314159e+00
1.053001000000000076e+01,2.017097985593188980e+00
1.067000999999999955e+01,1.995961908270010410e+00
1.081001000000000012e+01,1.967459853362969691e+00
1.095001000000000069e+01,1.930226279470570905e+00
1.109000999999999948e+01,1.882743739581789422e+00
1.123001000000000005e+01,1.823325261446507861e+00
1.137001000000000062e+01,1.750193534904100900e+00
1.149000999999999983e+01,1.661550308392069297e+00
1.161001000000000083e+01,1.555733155141046709e+00
1.171001000000000047e+01,1.431503429261910654e+00
1.179001000000000055e+01,1.288457185491708401e+00
1.186001000000000083e+01,1.127476484929628819e+00
1.191000999999999976e+01,9.514163934979085191e-01
1.198001000000000005e+01,7.658945030051234060e-01
1.214001000000000019e+01,5.795970495201954176e-01
1.262001000000000062e+01,4.049597918533167640e-01
1.425000999999999962e+01,2.554566010073103244e-01
2.001001000000000118e+01,1.471585063996612153e-01
2.001001000000000118e+01,8.861401078444262891e-02
2.001001000000000118e+01,7.989370102003542917e-02
2.001001000000000118e+01,7.936812272792853618e-02
2.001001000000000118e+01,7.740885095030192176e-02
2.001001000000000118e+01,7.430576905119284925e-02
2.001001000000000118e+01,7.141585020420053442e-02
2.001001000000000118e+01,6.862781076462108609e-02
2.001001000000000118e+01,6.471965033229691577e-02
2.001001000000000118e+01,5.925465689266143365e-02
2.001001000000000118e+01,5.175468996494838464e-02
2.001001000000000118e+01,4.194262509482631074e-02
2.001001000000000118e+01,3.606796511608193617e-02
2.001001000000000118e+01,2.971086635322751565e-02
2.001001000000000118e+01,2.260340242340192971e-02
2.001001000000000118e+01,1.662338395929831639e-02
2.001001000000000118e+01,8.669067609361501281e-03
2.001001000000000118e+01,8.066727141144737490e-03
2.001001000000000118e+01,7.865317334340560587e-03
2.001001000000000118e+01,7.629799804084292682e-03
2.001001000000000118e+01,7.172139223187962154e-03
2.001001000000000118e+01,6.865529587050813766e-03
